 A  Bang  Sun  Engine   | 1915 | Ithaca,  New  York,  USA | 42.4396039 | -76.4968019 
 A  Brother's  Redemption   | 1915 | Santa  Barbara,  California,  USA | 34.4221319 | -119.7026673 
 A  Bunch  of  Keys   | 1915 | Michigan,  USA | 43.6211955 | -84.6824346 
 A  Bunch  of  Matches   | 1915 | Niles,  California,  USA | 37.5781679 | -121.9809177 
 A  Hydro-Aeroplane  Flight  at  Palm  Beach   | 1915 | Palm  Beach,  Florida,  USA | 26.6279798 | -80.4494174 
 A  Rheumatic  Joint   | 1915 | Ithaca,  New  York,  USA | 42.4396039 | -76.4968019 
 A  Soldier's  Oath   | 1915 | Caldwell,  New  Jersey,  USA | 40.8398218 | -74.2765366 
 A  Submarine  Pirate   | 1915 | San  Diego,  California,  USA | 32.7174202 | -117.1627728 
 A  Trip  to  the  Argentine   | 1915 | Argentina | -34.9964963 | -64.9672817 
 A  Trip  to  the  Argentine   | 1915 | Bahia,  Brazil | -12.285251 | -41.9294776 
 A  Trip  to  the  Argentine   | 1915 | Barbados | 13.1500331 | -59.5250305 
 A  Trip  to  the  Argentine   | 1915 | Rio  de  Janeiro,  Rio  de  Janeiro,  Brazil | -22.9110137 | -43.2093727 
 20,000  Leagues  Under  the  Sea   | 1916 | New  Providence  Island,  Bahamas | 25.1943588 | -77.29532966890318 
 7,000  Policemen  Parade   | 1916 | New  York  City,  New  York,  USA | 40.7127281 | -74.0060152 
 A  Circus  Romance   | 1916 | Albany,  Georgia,  USA | 31.5782062 | -84.1556809 
 A  Daughter  of  the  Gods   | 1916 | Kingston,  Jamaica | 17.9712148 | -76.7928128 
 A  Daughter  of  the  Woods   | 1916 | Long  Beach,  California,  USA | 33.7690164 | -118.191604 
 A  Day  with  Governor  Whitman   | 1916 | Albany,  New  York,  USA | 40.7127281 | -74.0060152 
 A  Lass  of  the  Lumberlands   | 1916 | Humboldt  County,  California,  USA | 40.5997415 | -123.8997734 
 A  Lass  of  the  Lumberlands   | 1916 | Arcata,  California,  USA | 40.866517 | -124.08284 
 A  Maori  Maid's  Love   | 1916 | New  Zealand | -41.5000831 | 172.8344077 
 A  Message  to  Garcia   | 1916 | Cuba | 23.0131338 | -80.8328748 
 A  Million  for  a  Baby   | 1916 | Chicago,  Illinois,  USA | 41.8755616 | -87.6244212 
 A  Bargain  at  $37.50   | 1917 | Jacksonville,  Florida,  USA | 30.3321838 | -81.655651 
 A  Bit  of  Kindling   | 1917 | Long  Beach,  California,  USA | 33.7690164 | -118.191604 
 A  Country  Hero   | 1917 | Long  Beach,  California,  USA | 33.7690164 | -118.191604 
 A  Day  Off   | 1917 | Jacksonville,  Florida,  USA | 30.3321838 | -81.655651 
 A  Deal  in  Bonds   | 1917 | Jacksonville,  Florida,  USA | 30.3321838 | -81.655651 
 A  Love  Sublime   | 1917 | Los  Angeles,  California,  USA | 34.0536909 | -118.242766 
 A  Maid  of  Belgium   | 1917 | Long  Island  Sound,  New  York,  USA | 41.05063 | -72.96826226307427 
 A  Trip  Through  China   | 1917 | Beijing,  China | 39.9065084 | 116.3912391 
 A  Trip  Through  China   | 1917 | Hong  Kong,  China | 22.2793278 | 114.1628131 
 Aida   | 1917 | Mexico | 22.5000485 | -100.0000375 
 'Blue  Blazes'  Rawden   | 1918 | Felton,  California,  USA | 37.041583599999996 | -122.0769929309627 
 'Tis  Tough  to  Be  Tender   | 1918 | Yosemite  National  Park,  California,  USA | 37.84054795 | -119.51658779802511 
 A  Black  Sherlock  Holmes   | 1918 | Chicago,  Illinois,  USA | 41.8755616 | -87.6244212 
 A  Coorial  on  the  Orinoco   | 1918 | Orinoco  River,  Venezuela | 7.6447291 | -64.8923779 
 A  Doll's  House   | 1918 | Maine,  USA | 45.709097 | -68.8590201 
 A  Romance  of  Burke  and  Wills  Expedition  of  1860   | 1918 | Australia | -24.7761086 | 134.755 
 A  Romance  of  Burke  and  Wills  Expedition  of  1860   | 1918 | Cooper's  Creek,  South  Australia,  Australia | -34.8123912 | 138.6068634 
